territory,menu item,price,category,menu
Australia,Hash Brown,2.15,Most Popular,Breakfast Menu
Australia,Mighty McMuffin,5.34,Most Popular,Breakfast Menu
Australia,Bacon & Egg McMuffin,4.01,Most Popular,Breakfast Menu
Australia,Sausage & Egg McMuffin,4.27,Most Popular,Breakfast Menu
Australia,Brekkie Bundle,18.93,Most Popular,Breakfast Menu
Australia,Hotcakes with Butter & Syrup,4.74,Most Popular,Breakfast Menu
Australia,Monopoly Hotcakes Bundle,8.56,Monopoly Bundles,Breakfast Menu
Australia,Monopoly 20pc McNugget Bundle,18.26,Monopoly Bundles,Breakfast Menu
Australia,Monopoly 10pc Chicken McNuggets Bundle,14.41,Monopoly Bundles,Breakfast Menu
Australia,Hash Brown,2.15,Monopoly Bundles,Breakfast Menu
Australia,Large Fries,2.94,Monopoly Bundles,Breakfast Menu
Australia,Big Mac,5.18,All Day Menu,Breakfast Menu
Australia,Cheeseburger,3.1,All Day Menu,Breakfast Menu
Australia,Double Cheeseburger,4.04,All Day Menu,Breakfast Menu
Australia,Small Fries,2.27,All Day Menu,Breakfast Menu
Australia,Chicken McNuggets - 3pc,3.41,All Day Menu,Breakfast Menu
Australia,Chicken McNuggets - 6pc,5.31,All Day Menu,Breakfast Menu
Australia,Chicken McNuggets - 20pc,9.89,All Day Menu,Breakfast Menu
Australia,Chicken McNuggets - 40pc,18.61,All Day Menu,Breakfast Menu
Australia,Mighty McMuffin,5.34,McMuffins,Breakfast Menu
Australia,Double Bacon & Egg McMuffin,4.68,McMuffins,Breakfast Menu
Australia,Bacon & Egg McMuffin,4.01,McMuffins,Breakfast Menu
Australia,Double Sausage & Egg McMuffin,4.99,McMuffins,Breakfast Menu
Australia,Sausage & Egg McMuffin,4.27,McMuffins,Breakfast Menu
Australia,Sausage McMuffin,3.79,McMuffins,Breakfast Menu
Australia,Double Sausage McMuffin,4.74,McMuffins,Breakfast Menu
Australia,Big Brekkie Burger,6.19,McMuffins,Breakfast Menu
Australia,Brekkie Bundle,18.93,McMuffins,Breakfast Menu
Australia,Small Chocolate Shake,3.57,Shakes & Frappes,Breakfast Menu
Australia,Small Strawberry Shake,3.57,Shakes & Frappes,Breakfast Menu
Australia,Small Vanilla Shake,3.57,Shakes & Frappes,Breakfast Menu
Australia,Medium Chocolate Frappé,4.08,Shakes & Frappes,Breakfast Menu
Australia,Medium Coffee Frappé,4.08,Shakes & Frappes,Breakfast Menu
Australia,Medium Salted Caramel Frappé,4.08,Shakes & Frappes,Breakfast Menu
Australia,Small Coke®,2.72,Soft Drinks,Breakfast Menu
Australia,Small Sprite® Zero Sugar,2.72,Soft Drinks,Breakfast Menu
Australia,Small Fanta®,2.72,Soft Drinks,Breakfast Menu
Australia,Small Coke® Zero Sugar,2.72,Soft Drinks,Breakfast Menu
Australia,Small Vanilla Coke®,2.72,Soft Drinks,Breakfast Menu
Australia,Small Sparkling Water,2.72,Soft Drinks,Breakfast Menu
Australia,Small Frozen Coke®,2.72,Soft Drinks,Breakfast Menu
Australia,Small Frozen Fanta® Flavours,2.72,Soft Drinks,Breakfast Menu
Australia,Apple Crumble Muffin,3.16,Desserts,Breakfast Menu
Australia,Double Choc Muffin,3.16,Desserts,Breakfast Menu
Australia,Raspberry & Custard Pie,2.4,Desserts,Breakfast Menu
Australia,Hot Apple Pie,2.4,Desserts,Breakfast Menu
Australia,MILO® McFlurry,4.3,Desserts,Breakfast Menu
Australia,Raspberry & Custard Pie McFlurry,4.3,Desserts,Breakfast Menu
Australia,Apple Slices,2.34,Desserts,Breakfast Menu
Australia,McDonaldland Cookies,1.2,Desserts,Breakfast Menu
Australia,Hot Fudge Sundae,3.29,Desserts,Breakfast Menu
Australia,Caramel Sundae,3.29,Desserts,Breakfast Menu
Australia,Strawberry Sundae,3.29,Desserts,Breakfast Menu
Australia,M&M'S® MINIS McFlurry,4.3,Desserts,Breakfast Menu
Australia,OREO® McFlurry,4.3,Desserts,Breakfast Menu
Australia,Apple Crumble Muffin,3.16,More Brekkie Favourites,Breakfast Menu
Australia,Hash Brown,2.15,More Brekkie Favourites,Breakfast Menu
Australia,Double Choc Muffin,3.16,More Brekkie Favourites,Breakfast Menu
Australia,Big Brekkie Burger,6.19,More Brekkie Favourites,Breakfast Menu
Australia,Hotcakes with Butter & Syrup,4.74,More Brekkie Favourites,Breakfast Menu
Australia,Apple Slices,2.34,More Brekkie Favourites,Breakfast Menu
Australia,Yoplait Miam Strawberry Yoghurt,2.4,More Brekkie Favourites,Breakfast Menu
Australia,Truffle Flavoured Mayo,0.47,Breakfast Condiments,Breakfast Menu
Australia,Spicy Buffalo Sauce,0.47,Breakfast Condiments,Breakfast Menu
Australia,Outback BBQ Sauce,0.47,Breakfast Condiments,Breakfast Menu
Australia,Wasabi Flavoured Mayo,0.47,Breakfast Condiments,Breakfast Menu
Australia,Hot Cake Syrup,0.7,Breakfast Condiments,Breakfast Menu
Australia,Tomato Chilli Jam,0.47,Breakfast Condiments,Breakfast Menu
Australia,Sweet 'n Sour Sauce,0.47,Breakfast Condiments,Breakfast Menu
Australia,Barbecue Sauce,0.47,Breakfast Condiments,Breakfast Menu
Australia,McChicken Sauce,0.47,Breakfast Condiments,Breakfast Menu
Australia,Mustard Sauce,0.47,Breakfast Condiments,Breakfast Menu
Australia,Ketchup,0.19,Breakfast Condiments,Breakfast Menu
Australia,Small Birthday Cake Flavoured Iced Latte,4.99,McCafe Drinks,Breakfast Menu
